,Nick,League Points,Jogos Diários,Jogos
651,고고개미,436,0,440
652,인죽이,436,0,305
653,던지는거 챌린저,435,0,197
654,시기펩,433,0,247
655,아카시아하나따기,433,0,295
656,성록썬더,433,0,210
657,헬로우 청춘,432,0,250
658,요르르륵,431,0,370
659,A Final Death,431,0,209
660,점수버그걸린사람,431,0,388
661,할줄 아는것만 함,430,0,446
662,희구너,430,0,203
663,니뭐되나,430,0,187
664,극악무도한 복실,429,0,346
665,사실싫어,427,0,248
666,수학30번,426,0,218
667,좀비맨,426,0,276
668,잼쁘님,426,0,211
669,강력한탈주범,425,0,284
670,DaeHoon,425,0,184
671,낚시도구,425,0,311
672,아오링고,424,0,323
673,자잇z,424,0,146
674,인생유일,424,0,333
675,동사강목,424,0,384
676,Not Scythe,423,0,351
677,Vanguard Mystery,423,0,271
678,이기기쉽네,422,0,313
679,정금탁,422,0,199
680,마스터이 마스터,422,0,409
681,체스왕1,422,0,156
682,누누눈나,422,0,586
683,OHwowHO,421,0,419
684,미대생,420,0,345
685,빨치산,420,0,250
686,N극과S극의뜨밤,420,0,221
687,늘 너,419,0,106
688,국순길,419,0,208
689,숭토체스,419,0,326
690,상우야잘좀해,419,0,262
691,23학번 김찬민,419,0,398
692,잇 떼,418,0,344
693,엿파는엿장수,418,0,131
694,26 LEE M H,417,0,248
695,킬 뺏 긴 원 딜 ,417,0,153
696,alleyday,416,0,169
697,오렌지는사과,415,0,201
698,2 수 호,415,0,203
699,땅꼬밍이,414,0,184
700,채희린,413,0,203
701,qerew,413,0,111
702,롤토체스반면교사,413,0,342
703,술 집,412,0,338
704,하늘에얼음이있음,412,0,322
705,예 뻐,412,0,155
706,simsun7,412,0,135
707,조성몇,411,0,439
708,미스터초밥왕77,411,0,128
709,이름김지인,411,0,266
710,나뭉아,411,0,329
711,플람므,411,0,140
712,Sissela,410,0,123
713,토토로11,409,0,378
714,입닫체스,408,0,320
715,영타구니,408,0,241
716,부먹민초진순하와이안피자펩시맥콜,408,0,258
717,드박ºº,407,0,197
718,검사기,407,0,325
719,초코슈크림 워니,406,0,193
720,고유나,406,0,105
721,인턴 멈춰,406,0,252
722,웨 돌,406,0,541
723,귀살대 장우석,406,0,385
724,엉망진창 보리님,406,0,277
725,매탄동강형욱,406,0,370
726,용바위운용기재병,406,0,151
727,팔차신,406,0,336
728,맞워요,405,0,146
729,너엉로,405,0,167
730,Bellruns,405,0,254
731,게임잘하는남자1,404,0,266
732,RST22900,404,0,416
733,일단 주면 먹어,404,0,184
734,Lego77,403,0,195
735,못하는라인CS압수,402,0,116
736,Hz 한남종민,400,0,274
737,매직아이스,400,0,347
738,겟앰13년차,400,0,332
739,자꾸막만졌잖아요,399,0,130
740,저 애인 있어요,399,0,182
741,지 존 일 짱,399,0,285
742,카라멜s,399,0,394
743,JzuZzz,398,0,317
744,쫌붙어라,398,0,264
745,편식왕,398,0,295
746,순방할래,397,0,263
747,맛집밍9,397,0,366
748,BrcT 루이,396,0,159
749,저니밍,396,0,849
750,아 탑가고 싶다,396,0,235
751,딜폿하면던져요,396,0,370
752,미친꼴리는플레이,395,0,351
753,battle symphony,395,0,265
754,유색2,395,0,299
755,노루야놀자,395,0,241
756,마스터 3,394,0,130
757,롤토만합니당,394,0,548
758,강도깨비야,394,0,690
759,Kkame2,393,0,84
760,꿀자몽차,393,0,238
761,걸작장이 오른,393,0,212
762,롯데리아 사거리,393,0,226
763,이름이이렇게길어도되나싶을정도로,393,0,332
764,로또운롤토체스에쓰는사람,392,0,108
765,HeoMa,392,0,385
766,산소닭,392,0,372
767,tft 땅꼬마,391,0,197
768,Demarai Gray,390,0,120
769,전잘난맛에살아요,390,0,637
770,녕준이,389,0,132
771,목없는사람,389,0,408
772,모래주머니,389,0,160
773,DAGU,388,0,286
774,상엽이형,388,0,230
775,무지성탑이되고파,388,0,270
776,Sejong 공룡,388,0,353
777,랑리쓰리랑,388,0,361
778,탐욕의 죄,388,0,318
779,무빙느낌있어,388,0,290
780,만두라에몽,386,0,411
781,소라게 다 내꺼,386,0,238
782,Real Cuzz,386,0,239
783,준떡대,386,0,99
784,아이디로안,385,0,132
785,이것만하고할게,385,0,233
786,기분대로하는사람,385,0,193
787,Hz UmCri,385,0,296
788,실 세,385,0,419
789,털코르셋,384,0,271
790,가카그케원툴유저,384,0,320
791,퉤디이,384,0,267
792,Kim gyu hyeon,384,0,242
793,깜안림우진,384,0,135
794,자이라 고수,384,0,167
795,올빼미형인간,383,0,267
796,북경아기삵,383,0,556
797,아가돼지 서기,383,0,169
798,교방동,383,0,167
799,리븐 사기챔,383,0,200
800,달라도달라,382,0,278
801,짱주갓적만한다,382,0,518
802,내가니집뽀삐냐,382,0,212
803,믕 츄,381,0,120
804,못말리는 엄짱구,381,0,264
805,OwnRipper,381,0,354
806,yuniversal,381,0,173
807,호전중,381,0,265
808,TFT AD Carry,380,0,221
809,uL 롤체보단유진,380,0,177
810,혼칼찐,379,0,111
811,슈르르르륵,379,0,398
812,롤을하면롤롤롤,378,0,416
813,37세모솔아다염창두,378,0,437
814,언더덕씨,378,0,263
815,고문관 신승현,378,0,139
816,70014241,378,0,388
817,행복이필요한사람,378,0,235
818,아이씨 조보아씨,378,0,269
819,BOT 혜지,378,0,286
820,시골참새,377,0,126
821,정신병자19호,377,0,277
822,대일본제국,377,0,381
823,noanne,377,0,422
824,민혀깅,376,0,147
825,채팅시 사망,376,0,212
826,룬테라하러옴,376,0,172
827,좋은거만 함,376,0,552
828,명예 0렙 찍기,376,0,256
829,같은그림찾는사람,376,0,406
830,Kihyungdo,375,0,221
831,twitch 전설빵,375,0,160
832,구월동토박이,375,0,228
833,BN의 배신자 저격계정,375,0,61
834,JB Lee,375,0,491
835,궁중심리,374,0,201
836,Becrux,374,0,255
837,용욱아 물좀,374,0,150
838,9대1 뚫은 사나이,374,0,365
839,끼잉 나 애기깡민,374,0,194
840,두글자로만들어진,373,0,674
841,navvs,373,0,224
842,내가부엉이다,373,0,110
843,CE Twix,372,0,182
844,Aalc,372,0,145
845,보리보면짖는개,372,0,117
846,Burning,372,0,252
847,CoJooBoo,371,0,189
848,훈 순,371,0,194
849,부셔버리기,371,0,517
850,날두했다,370,0,141
851,신드라담배피드라,370,0,140
852,미드 1st,370,0,339
853,읭읭읭읭읭읭읭,370,0,240
854,티람지,370,0,260
855,장광자,370,0,114
856,샨 푸,369,0,347
857,달님해님별님,369,0,251
858,PBE안해서너보다못함,369,0,246
859,유미로널지켜줄게,369,0,352
860,정유년묘월묘일,369,0,322
861,쿠퍼 머피,368,0,93
862,콜비카오스코빙턴,368,0,391
863,작아서수치스러워,368,0,369
864,Viento,367,0,296
865,귤먹고양치하기,367,0,205
866,구광덕,367,0,186
867,그얼굴에뭔공주야,366,0,410
868,VoteLeeJaeMyeong,366,0,93
869,고려주전자,366,0,190
870,    배치부터    ,366,0,226
871,Cluge,366,0,263
872,러브메세지,366,0,215
873,TFT원정,366,0,212
874,케이틀린 3성,365,0,355
875,뵨태앙,365,0,234
876,진짜운빨씹망게임,365,0,396
877,경북대 체스머신,365,0,238
878,도깨비 비형,365,0,205
879,AsLunar,364,0,279
880,Lee 종원,364,0,343
881,윤임천사가아닐까,364,0,449
882,널사랑하나봄,364,0,155
883,dumpsong,364,0,531
884,실력 태보,363,0,113
885,황당황당황당당,360,0,568
886,Theb0b,360,0,388
887,TFT 냐옹이,357,0,258
888,각성이,357,0,198
889,단풍사탕,355,0,205
890,한번 뛰는 사람,350,0,602
891,c600g,337,0,317
