,Nick,League Points,Total Games,Daily League Points,Daily Games
390,Cûpid,782,364,,
391,Fabicrave,779,373,,
392,1v9unusualperkz,778,244,,
393,shiIo,777,448,,
394,BAE Narugaar,777,518,,
395,TRsüski,776,224,,
396,Thorn64,775,238,,
397,FNX Parandaar,774,731,,
398,TheMicWizard,773,725,,
399,niicks,772,312,,
400,juansetama,772,465,,
401,Wanni Zard,771,467,,
402,Mikiru,767,583,,
403,YourLifeisMineEU,767,891,,
404,HHaie PvE,764,239,,
405,Diamond Penne,764,201,,
406,MadThorn,754,100,,
407,TheOnlyKingLL,752,432,,
408,kacpertft,752,644,,
409,Naaqbark,751,300,,
410,MaXxouNET,751,540,,
411,Jinx IRL,750,419,,
412,Meiday,748,557,,
413,RufoH,747,431,,
414,SeyRo,746,559,,
415,TheIkeRagnell,742,768,,
416,Mempool,741,179,,
417,Senjó,740,501,,
418,Mαffew,739,251,,
419,WW Yoshi,739,306,,
420,Huerout,736,484,,
421,LaiDawoYa,734,546,,
422,Kenìchì,732,546,,
423,turbo eif,732,554,,
424,Solomy,732,515,,
425,Sinscere,731,245,,
426,Grassouil,731,414,,
427,JcZr,728,379,,
428,fgneves,725,309,,
429,NATASHA2004SPB,725,301,,
430,Huuuhcanabiis,721,238,,
431,Ancalimon,715,650,,
432,0ldfatman,714,479,,
433,BeyondNooblike,714,208,,
434,ONLY PILOTING,714,66,,
435,kClDonald,713,130,,
436,OG Drift King,711,867,,
437,matei3995,710,748,,
438,Pepsy,710,589,,
439,Paul028,709,219,,
440,Lowlander,709,334,,
441,TFT  Baguette Fr,708,441,,
442,zathebest,708,332,,
443,Lil Cabbage,707,608,,
444,zzZsCcc,706,511,,
445,2002,706,253,,
446,Roxser,706,289,,
447,MogamboDTB,705,271,,
448,Diddeman1,705,597,,
449,Pangqiu,704,393,,
450,Gonesri,703,475,,
451,STANUMYSLUU,703,321,,
452,Pakfk,702,226,,
453,Aethren,702,871,,
454,Carmelow,701,281,,
455,FuLLP0w3r,700,321,,
456,Kerlinga23,698,663,,
457,Cycløné,696,241,,
458,UnkleBreakR,694,517,,
459,curry for threee,693,132,,
460,Konan,690,265,,
461,Kyrinà,689,193,,
462,Orilak,687,537,,
463,B3st4hOfL0v3,683,233,,
464,Swain Krogstad,680,291,,
465,Flemmarde,680,127,,
466,ARNOLDxxx,679,428,,
467,Leloube,679,188,,
468,Drazar,679,542,,
469,Iceclaw,679,88,,
470,RenoJaxxon,677,538,,
471,Frozakk,677,318,,
472,Shezix,674,605,,
473,J1GEN tft,674,293,,
474,Mumpitz,674,779,,
475,TN Diff,673,125,,
476,Souffre,672,236,,
477,marcosvc22,671,475,,
478,Undëäd,668,438,,
479,Le Slammeur Fou,667,198,,
480,xForsaken,664,1016,,
481,BaDooBiDoo,663,312,,
482,TSMdestroy,662,391,,
483,Opreddo,662,205,,
484,DrMattheus,661,571,,
485,Arcanists OTP,660,223,,
486,Nerroh1,659,296,,
487,Galoubi,659,283,,
488,Funkfreed,659,201,,
489,TrybleH,657,415,,
490,Skayonara,657,452,,
491,Swole King,656,354,,
492,LS10,656,157,,
493,Korkhov,655,460,,
494,Sofikosh,651,408,,
495,Ekkoløgie,651,362,,
496,sikknice,650,201,,
497,Bailey UwU,649,189,,
498,KRC Kimi,649,461,,
499,fufuanto,648,829,,
500,ZeelkTFT,648,447,,
501,TMS Frobei,647,329,,
502,Syl3nce TFT,645,374,,
503,zebrasas,643,316,,
504,GoB GG,642,563,,
505,ESR x Saka,642,229,,
506,frlefr,641,145,,
507,Katsuta,640,427,,
508,inveyy,640,182,,
509,SSGSS Kenjii,639,577,,
510,Macardi,638,737,,
511,Pasques,637,708,,
512,Valasx,637,382,,
513,MugSquared,636,333,,
514,lin9282,635,350,,
515,tft dybbe,632,375,,
516,naue,631,399,,
517,Brokkoliiii,629,537,,
518,1xKatze süßsauer,628,773,,
519,OSW TalexPrime,628,773,,
520,AltTaB404,628,642,,
521,2DRANK,626,296,,
522,TaKK TFT,626,292,,
523,Jaffoul,625,238,,
524,TTK Monchorizo,625,451,,
525,NV0248,625,199,,
526,JOJO TFT ALPHA,625,124,,
527,Melarim,624,427,,
528,pee marten,623,372,,
529,TheJellyHunter,622,566,,
530,bensac,622,724,,
531,ShiroCloud,620,293,,
532,kpio7iq,620,190,,
533,panoooo,619,193,,
534,uknowSoya,616,135,,
535,FULLPOWER79,616,193,,
536,Øne Łìfe,616,644,,
537,Nied,614,421,,
538,BlarghTFT,614,270,,
539,Not OPP,613,149,,
540,Spethanovix,613,484,,
541,eliatftv2,613,87,,
542,LoñelyTopLaner,612,142,,
543,k0m6o,612,170,,
544,Zhasu,611,634,,
545,xijie,611,160,,
546,FABLED AND HOJ,610,192,,
547,KURFUZZLED,608,431,,
548,tambonator,605,263,,
549,Turbokurt,605,588,,
550,ManamanaBOU,605,302,,
551,Powerboy Niels,604,636,,
552,MintSN,603,544,,
553,KptainPE,603,356,,
554,Jarkopolo,603,444,,
555,zfKidomo,603,817,,
556,TUDBobby,601,340,,
557,WIN 0R G0 H0ME,601,396,,
558,Kwarkaapje,601,216,,
559,hamonknir,601,263,,
560,BakGG,601,458,,
561,hihi popo,599,214,,
562,Magasinière,599,238,,
563,doodingueeeeeeee,599,441,,
564,Hubbaa,599,168,,
565,TPL Ice,598,308,,
566,MarkowKette,598,222,,
567,Stimer,598,499,,
568,Path of Gaming,596,619,,
569,Vínn,595,497,,
570,UnluckyKinGhio,594,305,,
571,VietSouI,593,401,,
572,schnekec TTV,593,449,,
573,2cant,592,163,,
574,BUBEQ,591,520,,
575,darkest1903,590,191,,
576,Tahmas Kénch,589,237,,
577,Pekaaaa,589,477,,
578,l StreamR l,589,347,,
579,La chaaaatee,588,673,,
580,aIwaysblamejgler,587,351,,
581,NES Chicham,586,583,,
582,Raronn,586,147,,
583,DRG Eupho,586,345,,
584,jponfire,585,209,,
585,Gnalidos,582,340,,
586,WailordHd,582,260,,
587,Saftige Gurke,579,250,,
588,blacktrooper07,578,228,,
589,Emperor Scamorza,573,142,,
590,ZayRro,570,350,,
591,SuperBoudis,555,833,,
592,BaIIsZac,542,219,,
593,Subtlecloud,539,505,,
594,Cinbar,536,413,,
595,migueloxo,529,470,,
596,FR4NXX Zero Two,506,492,,
597,MidOrIFeederino,497,229,,
598,PlantVPatriarchy,452,492,,
599,Birill0,431,287,,
