,Nick,League Points,Total Games,Daily League Points,Daily Games
841,진짜홍삼,738,190,0,0
842,wight3,738,380,0,0
831,주식개박살,737,438,0,0
803,강도깨뷔,734,205,0,0
815,TFT Show,734,157,0,0
816,팀략적전게임,734,401,0,0
791,wMir,732,398,0,0
792,부디 아픔이 없이,731,373,0,0
793,상체 뽑는 망겜,731,214,0,0
794, IlIlllIIlIIIlIl,731,331,0,0
795,우리집엄마아빠,730,547,0,0
796,TFT Ranker,729,210,0,0
797,dunezune,729,152,0,0
798,lIIIlllIIlIl,726,207,0,0
799,알파카농장주,726,555,0,0
800,한남 동각,726,328,0,0
801,금빵이,726,232,0,0
790,정우송,725,239,0,0
802,HALMHALM,725,147,0,0
804,ShrimpVicious,724,526,0,0
805,미리리미리,724,248,0,0
806,HappYUN,723,247,0,0
807,nywell,723,145,0,0
892,zl존최강롤체123,722,149,0,0
808,구깨룩,721,95,0,0
809,청년과 중년사이,721,435,0,0
810,근열맨,720,439,0,0
811,Acro 보라돌이,720,288,0,0
812,키 키 늉,719,321,0,0
813,uL 종또리,719,212,0,0
814,세나릴,718,478,0,0
843,롤체 전문 한의사,718,293,0,0
817,어른이될사람,717,379,0,0
844,twitch zooclo,717,396,0,0
873,배토체스보고배움,717,427,0,0
893,소환사의제제,717,245,0,0
875,철회랜드,716,509,0,0
876,교촌치킨레드허니,716,278,0,0
894,되게 불안한 사람,715,391,0,0
877,snoopuh,714,250,0,0
878,인하루엔,714,268,0,0
895,Unhesitate,714,214,0,0
879,acro 상mini,713,209,0,0
880,앗 어,712,456,0,0
881,모 찌 늉,711,306,0,0
882,1타강사 깨멍이,711,435,0,0
883,적사스오,710,231,0,0
884,케인지 크몽,710,249,0,0
896,rabbit12,709,326,0,0
897,싼타할매,709,300,0,0
898,어깨가무거운사람,709,478,0,0
887,beautifuI sun,707,306,0,0
859,Useless Chat,706,232,0,0
872,심 딴,706,216,0,0
871,asdfewqrwe,704,125,0,0
847,1Chon,703,213,0,0
848,뭘꼬라보니아가야,703,275,0,0
849,보토르,703,263,0,0
885,컁 캉,703,550,0,0
850,몽글몽글가렌,701,281,0,0
851,Ignited,699,132,0,0
852,NCT노래듣는사람,698,129,0,0
853,기모자,698,356,0,0
854,꽝 백,697,416,0,0
855,근면성실한 사람,697,219,0,0
874,서포터 카르마,695,186,0,0
886,초보끼리합시다,695,221,0,0
856,산천어홍보대사,694,323,0,0
888,Easy Mode,694,629,0,0
857,Soldering,688,443,0,0
846,Acro 인턴,686,99,0,0
889,Acro Nicole,686,418,0,0
858,Ice아메리카노I,684,508,0,0
860,롤하다죽을란다,684,137,0,0
861,Maxbetzz,683,428,0,0
862,diay,682,404,0,0
863,Yoo Jin2,681,248,0,0
864,껄봇윗,680,348,0,0
865,Anuemine,680,410,0,0
866,오늘은 이걸로 해,680,242,0,0
867,분석왕봉달이,679,891,0,0
868,inla99,676,317,0,0
845,다냥냥,673,259,0,0
869,은싸사랑개,673,280,0,0
870,빙이는 아가야,673,196,0,0
788,베이스 여왕키키,671,205,0,0
789,홍시띠,671,304,0,0
787,해골7,670,202,0,0
707,배치차이 원식,669,431,0,0
708,박 휘 동,669,259,0,0
709,꽉끼는반지,664,95,0,0
710,팬티속보추,663,52,0,0
711,턱타르,661,324,0,0
712,저 서 비 ,660,548,0,0
713,해리 번스,659,118,0,0
714,빙하유령정찰원소,658,281,0,0
715,쌰커우,658,145,0,0
716,리롤의 부두술사,657,393,0,0
717,유탑오블레스,656,253,0,0
706,Acro 나나,653,269,0,0
718,uL Jg Jax,652,515,0,0
720,장주현,652,250,0,0
721,바질이활짝필때,650,252,0,0
890,hipii,650,266,0,0
722,껌크림,648,230,0,0
723,hz 카보배,648,298,0,0
724,용병 박병성,646,103,0,0
725,실망몬,644,490,0,0
726,랩동젤,643,239,0,0
727,Acro 골드,641,406,0,0
728,김맛귤2,640,353,0,0
729,소브로,637,360,0,0
719,Oreoreoreoreoreo,634,414,0,0
730,득득과 윌럼프,634,326,0,0
704,3년만에 돌아온,632,200,0,0
705,순 바,632,141,0,0
703,아현아 결혼하자,631,287,0,0
678,베르톨트,628,526,0,0
679,너 밤,625,252,0,0
680,체스오브레전드,625,467,0,0
681,멀록은니엄마야,624,243,0,0
682,식사담당,624,359,0,0
683,허니비 YouTube,624,378,0,0
684,ROOT SuperNova,624,424,0,0
685,오직바위게만,624,218,0,0
686,해킹왕,623,284,0,0
687,Yoo Jin,622,326,0,0
688,아뮤뮤뮤뮤,621,499,0,0
689,엉망진창 오띠띠,620,569,0,0
690,rxre,618,227,0,0
691,광기의 CC기,618,424,0,0
692,나그거한입만주라,618,218,0,0
693,현직깡패,611,149,0,0
694,하스하다왔어,609,203,0,0
695,쁘보배빈그레,608,570,0,0
696,타오갓,607,362,0,0
697,편하게하는사람,607,185,0,0
698,TwTF 진흙이,606,523,0,0
699,랩퍼카렌,606,368,0,0
700,홈카페프렌즈,606,329,0,0
701,너무행복한뱅후니,606,422,0,0
702,손 대 윤,605,240,0,0
731,SSoDA,603,329,0,0
732,KAIST 21학번,603,434,0,0
733,prayer기도만번함,603,214,0,0
761,팀 플레이어,602,458,0,0
763,끙락쀼,601,181,0,0
764,정6점,601,435,0,0
765,눈동자 속 은하수,596,392,0,0
766,겜좀재밌네,596,106,0,0
891,청민이다,596,222,0,0
767,Del Luna Fan,595,301,0,0
768,예당중3학년정모 ,591,300,0,0
769,AgathaZest,591,285,0,0
770,영혼해방운명봉인,588,112,0,0
771,vbra,586,442,0,0
772,나는 생각이 너무 많아,585,426,0,0
773,즐겜하는 노마딕,584,321,0,0
762,코난방송좋아해요,583,333,0,0
774,Let it Rain,582,294,0,0
776,헤이즈 노래모음,580,508,0,0
777,욍욍욍욍욍욍욍,580,165,0,0
778,Mig 부먹요정,579,191,0,0
779,실리키안,578,239,0,0
780,dippindot,573,242,0,0
781,로구달,573,404,0,0
782,michinnomida,572,580,0,0
783,배 서,570,196,0,0
784,빵쿠이,569,257,0,0
785,맹유찬1,569,342,0,0
760,euro,568,561,0,0
775,정상수이온충격기,568,223,0,0
786,인내 절제 냉정함,568,206,0,0
747,카나야 좋아해,567,541,0,0
759,판수도르,566,387,0,0
735,LimHyeongseok,565,331,0,0
736,제티스,565,371,0,0
737,si9n,564,321,0,0
738,전투기계장인,564,223,0,0
739,세주아니 장인,563,156,0,0
740,띵 바 땡 보,563,251,0,0
741,항산항심,562,504,0,0
742,울산전하동,562,211,0,0
743,니미소가날숨쉬게해넌나의에너지,561,128,0,0
744,Acro 김자르반,561,274,0,0
734,curioustore,560,348,0,0
745,라면면 ramenmen,560,267,0,0
746,DariusIV,560,209,0,0
748,Choa2,559,632,0,0
749,EDG V1pe12,557,323,0,0
750,임봉삼,555,388,0,0
751,CooRlo,553,183,0,0
752,미리리미리2,553,197,0,0
753,소작방냄심방,553,284,0,0
754,재료과학총합학과,551,410,0,0
755,1성 병아리,550,227,0,0
756,새콤달콤 크릉이,549,245,0,0
757,엉망진창 니얼굴,548,472,0,0
758,김강한 Youtube,548,353,0,0
451,트린드미어10장인,547,468,0,0
676,농  스,547,367,0,0
449,종훈모찌,546,164,0,0
450,uL 코스모,546,394,0,0
144,퀴트린,545,340,0,0
145,블랙펭수,542,198,0,0
146,사미라 삼일한,542,385,0,0
147,쪼튜브보고챌린저,540,243,0,0
148,임육뎍,540,185,0,0
149,그림쟁이간미,540,184,0,0
150,칠썽싸이다,538,173,0,0
151,정동글제자,537,273,0,0
152,링동이,537,217,0,0
153,the Innovator,537,133,0,0
154,시 곰,537,380,0,0
143,인생 행복한 사람,536,167,0,0
155,백병원심영,535,641,0,0
157,Hz 정라덴,535,330,0,0
158,김승한7,534,221,0,0
159,LMNtal,534,362,0,0
160,천재야,534,239,0,0
